Ac2O3,Actinium(III) oxide,12002-61-8
AlP,aluminium monophosphide,20859-73-8
AlPO4,aluminium phosphate,7784-30-7
AlTe,aluminium monotelluride,23330-86-1
AlTe2,monoaluminium ditelluride,39297-18-2
Al2BeO4,beryllium aluminium oxide,12004-06-7
Al2Br6,dialuminium hexabromide,18898-34-5
Al2(CO3)3,aluminium carbonate,14455-29-9
Al2Cl9K3,potassium aluminium chloride,74978-20-4
Al2CoO4,cobalt blue,1333-88-6
Al2F6,aluminium fluoride,17949-86-9
Al2I6,aluminium iodide,18898-35-6
Al2MgO4,magnesium aluminium oxide,12068-51-8
Al2O,dialuminium monoxide,12004-36-3
Al2O2,dialuminium dioxide,12252-63-0
Al2O3,aluminium oxide,1344-28-1
Al2O5Si,aluminium silicate,1302-76-7
Al2O5Si,aluminium silicate,12141-46-7
Al2O5Si,andalusite,12183-80-1
Al2O7Si2,aluminium silicate,1332-58-7
Al2S,dialuminium monosulfide,12004-45-4
Al2S3,aluminium sulfide,1302-81-4
Al2(SO4)3,aluminium sulfate,14455-29-9
Al2Se,dialuminium selenide,12598-14-0
Al2Si2O5(OH)4,kaolin,1332-58-7
Al2Te,dialuminium telluride,12598-16-2
Al3F14Na5,chiolite,1302-84-7
Al4C3,aluminium carbide,1299-86-1
Al6BeO10,beryllium aluminium oxide,12253-74-6
Al6O13Si2,mullite,1302-93-8
ArClF,argon chloride fluoride,53169-15-6
ArClH,argon chloride hydride,163731-17-7
ArFH,argon fluoride hydride,163731-16-6
AsBrO,arsenic oxybromide,82868-10-8
AsBr3,arsenic tribromide,7784-33-0
AsClO,arsenic monoxide monochloride,14525-25-8
AsCl3,arsenic trichloride,7784-34-1
AsCl3O,arsenic oxychloride,60646-36-8
AsCl4F,arsenic tetrachloride fluoride,87198-15-0
AsF3,arsenic trifluoride,7784-35-2
AsF5,arsenic pentafluoride,7784-36-3
AsH3,arsine,7784-42-1
AsI3,arsenic triiodide,7784-45-4
AsO,arsenic monoxide,12005-99-1
AsO2,arsenic dioxide,12255-12-8
AsP,arsenic monophosphide,12255-33-3
AsP3,arsenic triphosphide,12511-95-4
AsTl,thallium arsenide,12006-09-6
As2I4,arsenic diiodide,13770-56-4
As2O3,arsenic trioxide,1327-53-3
As2P2,arsenic diphosphide,12512-03-7
As2O5,arsenic pentoxide,1303-28-2
As2S4,arsenic tetrasulfide,1303-32-8
As2S5,arsenic pentasulfide,1303-34-0
As2Se,arsenic hemiselenide,1303-35-1
As2Se3,arsenic triselenide,1303-36-2
As2Se5,arsenic pentaselenide,1303-37-3
As3O4,arsenic tetraoxide,83527-53-1
As3P,arsenic(III) phosphide,12512-11-7
As4O3,tetraarsenic trioxide,83527-54-2
As4O5,tetraarsenic pentaoxide,83527-55-3
As4S3,tetraarsenic trisulfide,12512-13-9
As4S4,tetraarsenic tetrasulfide,12279-90-2
AuBO,gold monoboride monoxide,12588-90-8
AuBr,gold bromide,10294-27-6
AuBr3,gold tribromide,10294-28-7
AuCN,gold cyanide,506-65-0
AuCl,gold chloride,10294-29-8
AuCl3,gold trichloride,13453-07-1
AuF3,gold trifluoride,14720-21-9
AuI,gold iodide,10294-31-2
AuI3,gold(III) iodide,31032-13-0
Au(OH)3,gold hydroxide,1303-52-2
AuTe,gold telluride,37043-71-3
Au2O3,gold trioxide,1303-58-8
Au2S,gold sulfide,1303-60-2
Au2S3,gold trisulfide,1303-61-3
Au2(SeO4)3,gold triselenate,10294-32-3
Au2Se3,gold triselenide,1303-62-4
BAs,boron arsenide,12005-69-5
BAsO4,boron(III) arsenate,
BBr3,boron tribromide,10294-33-4
BCl3,boron trichloride,10294-34-5
BF3,boron trifluoride,7637-07-2
BI3,boron iodide,13517-10-7
BN,boron nitride,10043-11-5
B(NO2)3,boron nitrite,
B(NO3)3,boron nitrate,
B(OH)3,boric acid,10043-35-3
BP,boron(III) phosphide,20205-91-8
BPO4,boron(III) orthophosphate,13308-51-5
B2Cl4,boron chloride,13701-67-2
B2F4,boron trifluoride,13965-73-6
B2H6,boron hydride,19287-45-7
B2O3,boron(III) oxide,1303-86-2
B2S3,boron sulfide,12007-33-9
B3N3H6,borazine,6569-51-3
B4C,boron carbide,12069-32-8
Ba(AlO2)2,barium aluminate,12004-04-5
Ba(AsO3)2,barium arsenite,125687-68-5
Ba(AsO4)2,barium arsenate,56997-31-0
BaB6,barium hexaboride,12046-08-1
Ba(BrO3)2·H2O,barium bromate monohydrate,10326-26-8
Ba(BrO3)2·2H2O,barium bromate dihydrate,
BaBr2,barium bromide,10553-31-8
Ba(CHO2)2,barium formate,541-43-5
Ba(C2H3O2)2,barium acetate,543-81-7
Ba(CN)2,barium cyanide,542-62-1
BaC2O4,barium oxalate,516-02-9
BaC2,barium carbide,50813-65-5
BaCO3,barium carbonate
witherite,513-77-9
Ba(ClO4)2,barium perchlorate,13465-95-7
BaCl2,barium chloride,10361-37-2
BaCrO4,barium chromate
barium chromate(VI),10294-40-3
BaF2,barium fluoride,7787-32-8
BaFeSi4O10,gillespite,
BaHgI4,barium tetraiodomercurate(II),10048-99-4
Ba(HS)2,barium hydrosulfide,
BaI2,barium iodide,13718-50-8
BaK2(CrO4)2,barium potassium chromate,27133-66-0
BaMnO4,barium manganate,7787-35-1
Ba(MnO4)2,barium permanganate,7787-36-2
BaMoO4,barium molybdate,7787-37-3
BaN6,barium azide,18810-58-7
Ba(NO2)2,barium nitrite,13465-94-6
Ba(NO3)2,barium nitrate,10022-31-8
Ba(NbO3)2,barium niobate,12009-14-2
BaNb2O6,barium metaniobate,12009-14-2
BaO,barium oxide,1304-28-5
Ba(OH)2,barium hydroxide
baryta,17194-00-2
BaO2,barium peroxide,1304-29-6
Ba(PO3)2,barium metaphosphate,13466-20-1
BaS,barium sulfide,21109-95-5
Ba(SCN)2,barium thiocyanate,2092-17-3
BaS2O3,barium thiosulfate,35112-53-9
BaSiF6,barium hexafluorosilicate,17125-80-3
BaSO3,barium sulfite,7787-39-5
BaSO4,barium sulfate
barite,7787-43-7
BaSe,barium selenide,1304-39-8
BaSeO3,barium selenite,13718-59-7
BaSeO4,barium selenate,7787-41-9
BaSiO3,barium metasilicate,13255-26-0
BaSi2,barium silicide,1304-40-1
BaSi2O5,barium disilicate,12650-28-1
BaSn3,barium stannate,12009-18-6
BaTeO3,barium tellurite,58440-17-8
BaTeO4·3H2O,barium tellurate trihydrate,28557-54-2
BaTiO3,barium titanate
barium metatitanate,12047-27-7
BaU2O7,barium uranium oxide,10380-31-1
BaWO4,barium tungstate,7787-42-0
BaZrO3,barium zirconate,12009-21-1
Ba2Na(NbO3)5,barium sodium niobate,12323-03-4
Ba2P2O7,barium pyrophosphate,13466-21-2
Ba2V2O7,barium pyrovanadate,
Ba2XeO6,barium perxenate,
Ba3(CrO4)2,barium chromate(V),12345-14-1
Ba3N2,barium nitride,12047-79-9
Ba3(PO4)2,barium orthophosphate,
Ba3(VO4)2,barium orthovandate,39416-30-3
BeB2,beryllium boride,12228-40-9
Be(BH4)2,beryllium borohydride,17440-85-6
BeBr2,beryllium bromide,7787-46-4
Be(CHO2)2,beryllium formate,1111-71-3
BeCO3,beryllium carbonate,13106-47-3
Be(C2H3O2)2,beryllium acetate,543-81-7
Be(C5H7O2)2,beryllium acetylacetonate,10210-64-7
BeCl2,beryllium chloride,7787-47-5
Be(ClO)2,beryllium hypochlorite,
Be(ClO3)2,beryllium chlorate,
Be(ClO4)2,beryllium perchlorate,13597-95-0
BeF2,beryllium fluoride,7787-49-7
BeI2,beryllium iodide,7787-53-3
Be(NO2)2,beryllium nitrite,
Be(NO3)2,beryllium nitrate,7787-55-5
BeO,beryllium oxide
bromellite,1304-56-9
Be(OH)2,beryllium hydroxide,13327-32-7
BeS,beryllium sulfide,13598-22-6
BeSO3,beryllium sulfite,
BeSO4,beryllium sulfate,13510-49-1
Be2C,beryllium carbide,506-66-1
Be3Al2(SiO3)6,beryl,1302-52-9
Be3N2,beryllium nitride,1304-54-7
BiBO3,bismuth(III) orthoborate,14059-35-9
BiBr3,bismuth(III) bromide,7787-58-8
Bi(C2H3O2)3,bismuth(III) acetate,22306-37-2
BiC6H5O7,bismuth(III) citrate,813-93-4
BiCl3,bismuth(III) chloride,7787-60-2
BiF3,bismuth(III) fluoride,7787-61-3
BiI3,bismuth(III) iodide,7787-64-6
Bi(NO3)3·5H2O,bismuth(III) nitrate pentahydrate,10035-06-0
BiOCl,bismuth(III) oxychloride,7787-59-9
BiOI,bismuth(III) oxyiodide,7787-63-5
(BiO)2CO3,bismuth oxycarbonate,5892-10-4
BiPO4,bismuth(III) orthophosphate,10049-01-1
Bi(VO3)5,bismuth(III) metavanadate,
Bi2Se3,bismuth(III) selenide
bismuth selenide,12068-69-8
Bi2(MoO4)3,bismuth(III) molybdate,13565-96-3
Bi2O3,bismuth(III) oxide,1304-76-3
Bi2S3,bismuth(III) sulfide
bismuthinite,1345-07-9
Bi2Se3,bismuth(III) selenide,12068-69-8
BrCl,bromine chloride,13863-41-7
BrO3−,bromate ion,15541-45-4
Br2,bromine,7726-95-6
Br2O5,dibromine pentoxide
